"ID"	"count"	"names"
"M.  kansasii-like (n=1)"	"    1"	"Mycobacterium kansasii-like (1 nt)"
"M.  kansasii/gastri"	"   16"	"Mycobacterium -gastri, -kansasii"
"M.  kansasii/gastri-like (1 nt)"	"    2"	"Mycobacterium -kansasii, -gastri-like (1 nt)"
"M.  marinum (Primärkultur)"	"    1"	"Mycobacterium marinum (primary culture)"
"M.  marseillense, M.  yongonense, M.  intracellulare"	"    1"	"Mycobacterium -intracellulare, -marseillense, -yonogonense"
"M.  microti"	"   44"	"Mycobacterium microti"
"M.  Microti"	"    3"	"Mycobacterium microti"
"M.  orygis?"	"    1"	"Mycobacterium orygis"
"M.  pinnipedii"	"    1"	"Mycobacterium pinnipedii"
"M.  simiae"	"    1"	"Mycobacterium simiae"
"M.  smegmatis"	"    2"	"Mycobacterium smegmatis"
"M.  spezies"	"    2"	"Mycobacterium spp."
"M.  tuberculosis"	"37819"	"Mycobacterium tuberculosis"
"M.  Tuberculosis"	"    1"	"Mycobacterium tuberculosis"
"M.  tuberculosis H37Rv"	"   44"	"Mycobacterium tuberculosis H37Rv"
"M.  tuberculosis, M.  avium"	"   24"	"Mycobacterium -tuberculosis, -avium"
"M.  ulcerans"	"    3"	"Mycobacterium ulcerans"
"M.  Xenopi"	"    1"	"Mycobacterium xenopi"
"m. abscessus"	"    6"	"Mycobacterium abscessus"
"M. abscessus"	"   30"	"Mycobacterium abscessus"
"M. africanum"	"    8"	"Mycobacterium africanum"
"M. avium"	"   98"	"Mycobacterium avium"
"M. avium complex"	"  577"	"Mycobacterium avium complex"
"M. avium complex?"	"    1"	"Mycobacterium avium complex"
"M. basillence"	"    1"	"Mycobacterium basiliense"
"m. bovis"	"    2"	"Mycobacterium bovis"
"M. bovis"	"   74"	"Mycobacterium bovis"
"M. canettii"	"   10"	"Mycobacterium canettii"
"M. chelonae"	"   78"	"Mycobacterium chelonae"
"M. chelone"	"   36"	"Mycobacterium chelonae"
"m. chimaera"	"   12"	"Mycobacterium chimaera"
"M. chimaera"	"   29"	"Mycobacterium chimaera"
"M. Chimaera"	"   19"	"Mycobacterium chimaera"
"M. chimarera"	"    2"	"Mycobacterium chimaera"
"m. fortuitum"	"    7"	"Mycobacterium fortuitum"
"M. fortuitum"	"    4"	"Mycobacterium fortuitum"
"m. intracellulare"	"    4"	"Mycobacterium intracellulare"
"M. intracellulare Gruppe"	"    3"	"Mycobacterium intracellulare group"
"M. kansasii"	"   52"	"Mycobacterium kansasii"
"M. malmoense"	"    1"	"Mycobacterium malmoense"
"M. pinnipedii"	"   15"	"Mycobacterium pinnipedii"
"M. simiae"	"   34"	"Mycobacterium simiae"
"M. smegmatis"	"   31"	"Mycobacterium smegmatis"
"m. szulgai"	"    1"	"Mycobacterium szulgai"
"M. triplex"	"    1"	"Mycobacterium triplex"
"m. tuberculosis"	"   17"	"Mycobacterium tuberculosis"
"M. tuberculosis"	"13445"	"Mycobacterium tuberculosis"
"M. tuberculosis (Erdman)"	"   16"	"Mycobacterium tuberculosis (Erdman)"
"M. vulneris"	"   26"	"Mycobacterium vulneris"
"M. xenopi"	"   95"	"Mycobacterium xenopi"
"M.abscessus"	"   37"	"Mycobacterium abscessus"
"M.africanum"	"   14"	"Mycobacterium africanum"
"M.avium"	"   80"	"Mycobacterium avium"
"m.bovis"	"    1"	"Mycobacterium bovis"
"M.bovis"	"   37"	"Mycobacterium bovis"
"M.bovis BCG, ATCC"	"    3"	"Mycobacterium bovis BCG, ATCC"
"M.celatum"	"    1"	"Mycobacterium celatum"
"M.chelonae"	"    6"	"Mycobacterium chelonae"
"M.chelone"	"    3"	"Mycobacterium chelonae"
"M.chimaera"	"   12"	"Mycobacterium chimaera"
"M.chimaera Variante"	"   24"	"Mycobacterium chimaera variante"
"M.chimeara"	"    1"	"Mycobacterium chimaera"
"M.fortuitum"	"   14"	"Mycobacterium fortuitum"
"M.gordonae"	"   13"	"Mycobacterium gordonae"
"M.interjectum"	"    1"	"Mycobacterium interjectum"
"M.intracelluar"	"    1"	"Mycobacterium intracellulare"
"M.intracellulare"	"   25"	"Mycobacterium intracellulare"
"M.kansasii"	"    5"	"Mycobacterium kansasii"
"M.marinum/ulcerans"	"    1"	"Mycobacterium -marinum, -ulcerans"
"M.microti"	"    1"	"Mycobacterium microti"
"M.species"	"   29"	"Mycobacterium spp."
"M.tuberculosis"	" 3377"	"Mycobacterium tuberculosis"
"m.vulneris"	"    1"	"Mycobacterium vulneris"
"M.vulneris"	"    2"	"Mycobacterium vulneris"
"M.xenopi"	"    9"	"Mycobacterium xenopi"
"MAC"	"    3"	"Mycobacterium avium complex"
"massiliense"	"    8"	"Mycobacterium massiliense"
"microbe mix"	"   63"	"Microbe mix"
"Mikrobiom"	" 1591"	"Microbiome"
"Mtb H37Rv"	"    3"	"Mycobacterium tuberculosis H37Rv"
"Mycobacterium bovis"	"   57"	"Mycobacterium bovis"
"Mycobacterium chimaera"	"   16"	"Mycobacterium chimaera"
"Mycobacterium microti"	"    7"	"Mycobacterium microti"
"Mycobacterium smegmatis"	"    1"	"Mycobacterium smegmatis"
"NA"	"    9"	"undefined by responsible person"
"NTM"	"   25"	"Nontuberculous mycobacteria"
"P. aeruginosa"	"   38"	"Pseudomonas aeruginosa"
"Pantoea agglomerans"	"    1"	"Pantoea agglomerans"
"Pasteurella pneumotropica"	"    1"	"Pasteurella pneumotropica"
"Pseudoalteromonas tunicata"	"    4"	"Pseudoalteromonas tunicata"
"S. hominis"	"   32"	"Staphylococcus hominis"
"S. maltophilia"	"  600"	"Stenotrophomonas maltophilia"
"SARS-CoV-2"	" 2421"	"SARS-CoV-2"
"Serratia \"bathroom\""	"    1"	"Serratia spp."
"Serratia grimesii"	"    1"	"Serratia grimesii"
"Staphylococcus epidermis"	"    1"	"Staphylococcus epidermidis"
"Staphylococcus haemolyticus"	"    1"	"Staphylococcus haemolyticus"
"Staphylococcus pasteuri"	"    1"	"Staphylococcus pasteuri"
"Staphylococcus xylosus"	"    1"	"Staphylococcus xylosus"
"Stenotrophomonas maltophilia"	" 1026"	"Stenotrophomonas maltophilia"
"Streptococcus pyogenes"	"  190"	"Streptococcus pyogenes"
"Tb (Primärkultur)"	"    4"	"Mycobacterium tuberculosis (Primary culture)"
"Tb (Wachstumskontrolle)"	"    9"	"Mycobacterium tuberculosis (Growth control)"
"unknown (M. heidelbergense)"	"    1"	"Mycobacterium heidelbergense"
